,open,high,low,close,volume,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225,open_ch,high_ch,low_ch,close_ch,volume_ch,000001.SS_ch,AAPL_ch,CL=F_ch,GC=F_ch,HG=F_ch,NVDA_ch,^DJI_ch,^GSPC_ch,^N100_ch,^N225_ch
2014-09-19,-0.8648852168870527,-0.8656478742916988,-0.8653270947413286,-0.8660564858625143,-0.9131838192122191,-2.4205650844872557,-1.0619073086849655,1.659907476670046,-0.9577944044067361,-0.1751793613536202,-0.6167767884251365,-1.3685188624550682,-1.198137327441943,-1.3139788069421667,-1.299941367599655,-2.0452505432972825,-2.0297319857667837,-1.9988341831825271,-1.98950117434769,0.10810983592672774,0.5293407936619497,-0.6012658064922105,-0.10697952863239593,-1.1310235577595105,-0.12474188768704801,-0.8084602756249374,0.056397277026887245,-0.08724278620674521,0.10161740517545956,1.4527546532793516
2014-09-20,-0.8662074586814772,-0.8658474360106881,-0.8650811970330853,-0.8654235498069892,-0.9132357542051381,-2.4205650844872557,-1.0619073086849655,1.659907476670046,-0.9577944044067361,-0.1751793613536202,-0.6167767884251365,-1.3685188624550682,-1.198137327441943,-1.3139788069421667,-1.299941367599655,-1.981307950764323,-0.3891400288852673,0.33125518556505407,0.9299071481954152,-0.21971697167135315,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2014-09-21,-0.8656048798648286,-0.8663253461695181,-0.8649296413819133,-0.865875908688753,-0.9137414577366999,-2.4205650844872557,-1.0619073086849655,1.659907476670046,-0.9577944044067361,-0.1751793613536202,-0.6167767884251365,-1.3685188624550682,-1.198137327441943,-1.3139788069421667,-1.299941367599655,0.8842201781579055,-0.8563163780071917,0.17821671094219776,-0.7400800164141812,-0.8653268565364476,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2014-09-22,-0.8660085606704955,-0.8665675992353065,-0.864748169796007,-0.8657264682487259,-0.9138620623860075,-2.53379753762583,-1.0615716103522679,1.610666252778748,-0.9539928673591249,-0.2408216408202482,-0.6169173582402483,-1.382949305341826,-1.2128477457375584,-1.33294685809449,-1.3180376216690437,-0.6680688226941685,-0.4744137762153687,0.22266397428907195,0.17272336582217093,-0.38533554547009996,-1.59328742445372,0.016818934970228693,-0.14988906067889526,0.12961529295092586,-1.4356364717593655,-0.46852000788844717,-0.7111622140511165,-0.90054786383016,-0.4946256840625496,-0.6906291338374104
2014-09-23,-0.8658741347702537,-0.8650445722221548,-0.8647910452822545,-0.8642173018986211,-0.912830743876399,-2.4770109106706677,-1.0562678885433976,1.612879374692615,-0.9433486873737642,-0.24537140336840202,-0.6169765475701554,-1.3986939281226036,-1.2233669549348474,-1.3968816012144136,-1.3180376216690437,0.1500521455264606,2.578800180051046,-0.12491886875956326,2.2547734677620563,2.086644294778067,0.7924728734778945,1.0066014948753756,0.020219080109497474,0.4172240020963612,-0.11244146521519874,-0.24126110009653004,-0.7777287719440339,-0.6591458594095865,-1.6268244514731092,-0.028023770006992858
2014-09-24,-0.8643618906956644,-0.8652839673908824,-0.8636451886915291,-0.8647819553791075,-0.9135424121185398,-2.3801634323411305,-1.0592554766553226,1.6814848876929362,-0.9494312085239176,-0.21287504744753058,-0.6168951633947278,-1.3779108259765125,-1.209186108576844,-1.3593502371106245,-1.324073947971816,2.2626302731038965,-0.4425266352027326,1.7060989455790225,-0.8568333247603825,-0.9731176800405013,1.349239760770512,-0.636228882906447,0.24165425951355726,-0.28543203615942775,0.7051108302899324,0.15915111961373707,0.9613866965893756,0.8095622426066296,0.9374683468764343,-0.2506196344549854
2014-09-25,-0.8649277636538506,-0.8658375876705818,-0.8641811932738963,-0.8653037633338935,-0.9137299357512432,-2.3757923830985357,-1.0722797114951919,1.6665464203018006,-0.9428419395153669,-0.21222516991442802,-0.6171985052509176,-1.4135297870824364,-1.238689206605658,-1.4061380966196888,-1.2916256087042526,-0.8589641089953653,-0.9553280880107483,-0.8358225735005095,-0.818183794218155,-0.46821683943791553,0.04712009418922263,-2.6275363223182335,-0.03632404883718494,0.24626241834669038,0.002090127923027055,-0.93363486670803,-1.7166205921176476,-1.7806992510705462,-1.2031572853867758,1.1713885096025243
2014-09-26,-0.8654546396367132,-0.8662149038780771,-0.8646158690568874,-0.8656244941450735,-0.9139932054966187,-2.3683122251759547,-1.0626122001091716,1.722426587824853,-0.9608358196667512,-0.2525203661407481,-0.6171689059731854,-1.3909731212452372,-1.2232939451223586,-1.3793299794026965,-1.3142761286195295,-0.8259531977331578,-0.6884229202639712,-0.7069179948802908,-0.5385371752200168,-0.6614267824558271,0.09016859579591065,1.938843628343995,0.19725763208747887,-0.7845848160283485,-0.8941054130919911,0.012751470704049628,1.0530719512573852,0.8897841506624842,0.66540027682661,-0.8547033946579177
2014-09-27,-0.8658083601095328,-0.8665804812398517,-0.8647370487870795,-0.8658445501561063,-0.9143094822762403,-2.3683122251759547,-1.0626122001091716,1.722426587824853,-0.9608358196667512,-0.2525203661407481,-0.6171689059731854,-1.3909731212452372,-1.2232939451223586,-1.3793299794026965,-1.3142761286195295,-0.5881889198946615,-0.6814676494378517,-0.24391826267269348,-0.39359711946289844,-0.9186116746985126,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2014-09-28,-0.8659918921440554,-0.8668269540644459,-0.865795823530471,-0.8668467581255207,-0.9138873537096116,-2.3683122251759547,-1.0626122001091716,1.722426587824853,-0.9608358196667512,-0.2525203661407481,-0.6171689059731854,-1.3909731212452372,-1.2232939451223586,-1.3793299794026965,-1.3142761286195295,-0.3383472883091667,-0.48764148838930266,-1.6851852981854798,-1.604365058154431,1.320332467354061,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
